date,shipment_index,inventory_index
2013-01-01,90.6065645514223,146.50740069121477
2013-02-01,87.41619256017503,149.06524085847167
2013-03-01,96.98730853391685,132.15507530827327
2013-04-01,93.79693654266956,129.02882621495928
2013-05-01,97.62538293216627,126.75519051073093
2013-06-01,95.2857768052516,127.74990613133085
2013-07-01,100.0713347921225,127.03939497375949
2013-08-01,98.68884026258203,123.91314588044548
2013-09-01,98.68884026258203,130.8761552246448
2013-10-01,99.43326039387306,124.7657592695311
2013-11-01,97.944420131291,120.6447945556172
2013-12-01,98.05076586433258,120.36059009258868
2014-01-01,91.67002188183804,112.26076289627514
2014-02-01,94.11597374179428,114.67650083201777
2014-03-01,97.0936542669584,116.95013653624612
2014-04-01,97.0936542669584,117.23434099927466
2014-05-01,97.30634573304155,116.80803430473186
2014-06-01,99.00787746170676,112.26076289627514
2014-07-01,97.944420131291,111.83445620173232
2014-08-01,97.19999999999996,114.25019413747496
2014-09-01,101.8792122538293,109.98712719204678
2014-10-01,103.04901531728665,114.96070529504632
2014-11-01,101.13479212253826,129.8814396040449
2014-12-01,104.21881838074395,138.40757349490124
2015-01-01,110.59956236323848,147.07580961727186
2015-02-01,104.21881838074395,151.76518325724285
2015-03-01,104.0061269146608,153.0441033408713
2015-04-01,109.6424507658643,156.5966591287281
2015-05-01,109.6424507658643,144.51796945001496
2015-06-01,107.5155361050328,146.36529845970048
2015-07-01,105.06958424507656,138.97598242095833
2015-08-01,99.85864332603936,137.1286534112728
2015-09-01,108.89803063457327,138.83388018944407
2015-10-01,110.81225382932163,135.99183555915863
2015-11-01,107.62188183807436,127.60780389981656
2015-12-01,99.53960612691463,128.17621282587365
2016-01-01,104.64420131291024,126.61308827921664
2016-02-01,101.98555798687087,123.06053249135982
2016-03-01,98.47614879649888,121.49740794470284
2016-04-01,96.98730853391685,116.23962537867476
2016-05-01,95.60481400437637,118.93956777744594
2016-06-01,98.47614879649888,112.54496735930368
2016-07-01,97.62538293216627,110.12922942356106
2016-08-01,99.96498905908092,106.00826470964716
2016-09-01,99.85864332603936,94.07167726244828
2016-10-01,102.3045951859956,93.929575030934
2016-11-01,104.64420131291024,87.96128130733457
2016-12-01,106.13304157549231,87.25077014976321
2017-01-01,107.0901531728665,86.25605452916331
2017-02-01,108.89803063457327,84.83503221402059
2017-03-01,105.8140043763676,84.40872551947776
2017-04-01,107.9409190371991,85.54554337159195
2017-05-01,105.60131291028443,88.52969023339166
2017-06-01,106.34573304157546,87.67707684430603
2017-07-01,108.57899343544854,88.38758800187739
2017-08-01,107.9409190371991,88.52969023339166
2017-09-01,99.6459518599562,89.3823036224773
2017-10-01,102.51728665207877,89.52440585399157
2017-11-01,103.68708971553608,91.9401437897342
2017-12-01,104.21881838074395,89.52440585399157
2018-01-01,100.4,85.2
2018-02-01,99.0,86.9
2018-03-01,102.0,96.8
2018-04-01,102.8,92.3
2018-05-01,106.6,96.5
2018-06-01,103.5,105.0
2018-07-01,103.7,106.4
2018-08-01,104.1,101.6
2018-09-01,95.2,105.7
2018-10-01,111.7,102.4
2018-11-01,104.1,100.6
2018-12-01,102.8,99.6
2019-01-01,103.0,102.6
2019-02-01,101.4,116.1
2019-03-01,102.1,99.7
2019-04-01,97.9,108.9
2019-05-01,98.4,108.3
2019-06-01,98.6,92.7
2019-07-01,99.1,111.3
2019-08-01,104.3,101.2
2019-09-01,99.5,93.8
2019-10-01,100.9,110.5
2019-11-01,100.8,112.4
2019-12-01,101.0,88.1
2020-01-01,95.7,110.5
2020-02-01,97.6,115.6
